model,comparison,rate_a,rate_b,delta,p_value
gpt-4.1,acrostic_vs_diluted,0.6666666666666666,0.25,0.41666666666666663,0.09953271926619617
gpt-4.1,dense_vs_diluted,0.75,0.25,0.5,0.039125701327881963
gpt-5,acrostic_vs_diluted,0.5833333333333334,0.16666666666666666,0.41666666666666674,0.08937945887737245
gpt-5,dense_vs_diluted,0.5,0.16666666666666666,0.33333333333333337,0.1930273253466146
